Snapshot,x,y
8,598,340
9,531,476
9,740,635
9,1176,844
9,356,631
9,815,568
9,1072,1009
9,939,656
9,281,516
9,681,403
9,973,572
9,1131,551
9,1252,578
9,998,448
9,1116,463
9,606,312
9,1034,408
9,1076,380
9,848,316
9,816,448
9,838,379
9,934,301
9,1127,334
9,1132,579
9,658,302
10,630,695
10,744,688
10,412,605
10,1112,895
10,515,483
10,1010,534
10,553,380
10,624,474
10,960,463
10,1126,439
10,1126,554
10,1022,401
10,819,483
10,818,347
10,696,398
10,1118,327
10,856,332
10,1216,323
10,891,308
10,1053,385
10,934,302
10,1035,388
10,1126,579
10,621,488
11,1202,826
11,411,577
11,603,752
11,1223,664
11,534,496
11,505,581
11,920,477
11,991,435
11,838,481
11,858,769
11,508,388
11,508,417
11,1105,463
11,1127,551
11,861,809
11,1029,407
11,805,349
11,893,313
11,673,294
11,1076,357
11,829,338
11,1114,319
11,1128,577
11,934,300
11,1164,298
11,699,400
12,346,580
12,523,476
12,471,557
12,1157,985
12,431,625
12,947,658
12,979,585
12,693,404
12,912,508
12,523,404
12,1211,842
12,819,483
12,997,428
12,1068,507
12,1133,332
12,1123,552
12,644,313
12,1212,352
12,818,352
12,794,351
12,1145,419
12,888,355
12,591,352
12,1052,384
12,1137,429
12,1088,265
12,1187,376
13,452,624
13,868,754
13,464,577
13,899,661
13,548,532
13,255,574
13,659,744
13,528,440
13,1017,404
13,1129,549
13,695,407
13,818,483
13,827,398
13,1117,451
13,657,704
13,1048,382
13,1271,539
13,1075,365
13,1148,411
13,666,301
13,617,310
13,1197,362
13,1149,371
13,1096,274
13,1109,460
14,732,630
14,525,473
14,467,546
14,1201,824
14,468,626
14,328,634
14,1065,1007
14,1020,483
14,1070,502
14,513,395
14,695,405
14,968,439
14,819,483
14,1120,553
14,1145,422
14,599,327
14,847,303
14,1070,366
14,1042,371
14,1137,314
14,1104,353
14,645,315
14,989,270
14,1124,576
14,1208,335
15,241,584
15,1178,781
15,774,586
15,459,620
15,531,474
15,607,490
15,919,489
15,666,411
15,1132,548
15,1009,410
15,824,483
15,1105,486
15,1146,405
15,802,359
15,1182,359
15,866,368
15,588,350
15,1263,479
15,1131,570
15,1133,361
15,1031,272
15,1059,393
15,831,320
15,935,309
15,975,274
15,701,410
16,446,627
16,1246,706
16,1168,781
16,978,452
16,535,561
16,602,486
16,533,494
16,1121,551
16,1082,519
16,820,484
16,498,399
16,527,439
16,1032,425
16,593,337
16,1121,432
16,659,424
16,819,347
16,856,307
16,525,408
16,1182,356
16,507,398
16,1183,338
16,1098,358
17,708,629
17,470,617
17,533,473
17,457,530
17,826,559
17,1231,774
17,1128,849
17,981,468
17,631,440
17,1132,550
17,1157,850
17,1146,430
17,1065,380
17,587,339
17,701,403
17,1133,363
17,1004,430
17,1256,508
17,1031,399
17,1185,357
17,859,378
17,624,320
17,1251,535
17,661,308
18,705,635
18,447,624
18,669,741
18,1246,667
18,536,474
18,439,575
18,829,616
18,989,435
18,1129,547
18,837,469
18,1145,437
18,1029,406
18,600,505
18,810,391
18,1087,276
18,1039,279
18,695,405
18,648,447
18,1140,367
18,575,452
18,1267,474
18,866,309
18,899,335
18,931,304
18,587,342
19,441,636
19,417,542
19,1032,490
19,914,487
19,534,566
19,626,489
19,667,413
19,832,482
19,529,432
19,523,474
19,524,490
19,1138,555
19,1132,448
19,895,332
19,820,385
19,988,418
19,642,321
19,854,333
19,1052,343
19,1134,581
19,984,282
19,1082,274
19,1027,270
19,953,299
20,1174,797
20,467,619
20,400,593
20,499,535
20,954,481
20,526,472
20,949,648
20,597,509
20,632,428
20,1020,438
20,1125,556
20,833,483
20,1111,466
20,1143,401
20,801,364
20,608,332
20,856,364
20,1037,399
20,877,286
20,1111,291
20,1067,384
20,568,375
20,1128,588
21,1105,940
21,441,627
21,738,608
21,512,581
21,1180,774
21,532,477
21,1066,531
21,832,590
21,868,753
21,607,441
21,402,425
21,591,499
21,984,438
21,480,507
21,1068,414
21,1125,561
21,833,467
21,1151,418
21,434,475
21,348,466
21,621,448
21,956,301
21,1168,297
21,874,300
21,652,305
21,464,504
21,597,340
21,798,344
21,839,391
21,1058,271
21,843,320
22,590,739
22,438,629
22,1165,760
22,701,650
22,790,542
22,535,476
22,431,559
22,786,608
22,353,568
22,983,437
22,924,487
22,1126,559
22,1060,384
22,1160,423
22,564,381
22,849,330
22,696,400
22,1194,331
22,834,399
22,1121,329
22,622,325
22,663,302
22,1087,362
22,1007,268
22,1218,319
22,821,324
22,948,298
23,1247,778
23,767,598
23,499,620
23,650,707
23,375,596
23,388,606
23,533,474
23,479,458
23,678,411
23,1247,583
23,599,503
23,549,377
23,1011,429
23,1128,558
23,818,485
23,1128,584
23,1049,389
23,1132,448
23,1198,357
23,1119,331
23,1271,482
23,841,398
23,608,327
23,846,299
23,970,286
23,1161,290
23,819,333
23,1081,277
24,710,643
24,495,621
24,1173,772
24,990,444
24,1085,925
24,621,441
24,534,464
24,548,558
24,536,379
24,358,455
24,283,509
24,1125,556
24,555,566
24,1024,401
24,821,486
24,1117,459
24,833,388
24,796,348
24,602,333
24,925,328
24,1109,336
24,1077,361
24,874,356
24,1181,344
24,1090,275
24,1126,584
24,1158,303
25,1243,717
25,669,677
25,436,562
25,443,626
25,959,675
25,298,613
25,532,450
25,536,554
25,994,434
25,333,469
25,666,411
25,821,486
25,624,498
25,565,367
25,1093,496
25,1126,560
25,893,336
25,1164,394
25,933,309
25,1029,407
25,1059,379
25,796,353
25,1123,587
25,1077,360
25,658,305
25,1165,327
25,1270,499
25,1122,429
26,410,584
26,679,811
26,1135,862
26,789,590
26,576,755
26,511,539
26,861,781
26,1179,742
26,552,522
26,950,663
26,891,542
26,993,424
26,1059,532
26,569,486
26,1246,591
26,820,486
26,1119,447
26,854,375
26,611,442
26,524,446
26,682,430
26,1129,560
26,1033,401
26,1058,378
26,1213,326
26,1130,593
26,1123,332
26,799,358
26,1178,373
27,1134,875
27,466,623
27,716,637
27,808,868
27,254,555
27,492,518
27,867,773
27,346,459
27,1243,610
27,963,649
27,608,427
27,616,478
27,901,511
27,813,485
27,1065,498
27,1123,449
27,1128,554
27,683,404
27,991,428
27,612,457
27,524,517
27,535,377
27,1063,355
27,534,472
27,529,444
27,1032,405
27,1188,341
27,828,351
27,529,426
27,1128,583
27,1149,396
27,860,358
28,1108,940
28,1181,786
28,659,677
28,866,774
28,799,665
28,438,625
28,868,533
28,502,561
28,936,475
28,591,497
28,342,448
28,1131,554
28,1093,500
28,392,563
28,1124,425
28,1237,311
28,517,447
28,552,376
28,817,482
28,392,544
28,1272,514
28,559,450
28,1079,383
28,1164,290
28,1177,372
28,662,454
28,526,473
28,305,484
28,800,360
28,597,332
28,1102,315
28,614,427
28,1028,386
28,1136,318
29,715,637
29,635,707
29,1150,960
29,414,640
29,783,575
29,1019,571
29,534,565
29,627,484
29,959,667
29,959,546
29,517,460
29,370,547
29,465,497
29,561,480
29,1090,483
29,546,370
29,366,578
29,1122,557
29,833,477
29,329,466
29,1034,394
29,986,441
29,1122,579
29,504,561
29,831,391
29,1107,344
29,1043,394
29,461,519
29,693,403
29,1057,332
30,481,538
30,1124,916
30,871,766
30,465,638
30,379,569
30,524,460
30,964,560
30,271,525
30,1045,513
30,1133,560
30,557,527
30,345,446
30,1136,582
30,833,481
30,1025,389
30,675,403
30,1195,338
30,840,399
30,1144,402
30,596,331
30,968,437
30,1131,307
30,1105,442
30,908,323
30,271,554
31,533,473
31,273,563
31,1180,772
31,896,713
31,745,611
31,441,445
31,432,546
31,470,619
31,1251,602
31,922,487
31,926,645
31,832,481
31,1027,408
31,261,540
31,678,410
31,1123,593
31,1101,490
31,1134,424
31,1159,350
31,1163,401
31,1120,336
31,801,358
31,1123,563
32,437,632
32,1120,1000
32,699,757
32,764,591
32,601,489
32,714,644
32,851,595
32,517,565
32,520,483
32,947,675
32,1129,556
32,269,502
32,1090,494
32,978,446
32,526,442
32,999,582
32,1009,565
32,1056,391
32,673,411
32,836,471
32,1011,430
32,630,320
32,1094,354
32,1152,384
32,859,339
32,1132,581
33,692,655
33,529,473
33,457,627
33,378,610
33,771,599
33,1063,536
33,459,454
33,683,403
33,965,461
33,556,366
33,833,481
33,1135,425
33,1129,572
33,997,425
33,1023,399
33,790,354
33,1080,438
33,1074,383
33,1257,517
33,1249,542
33,1155,297
34,548,750
34,1164,844
34,705,640
34,418,650
34,749,597
34,525,472
34,1067,527
34,840,540
34,911,479
34,417,564
34,979,434
34,335,465
34,1123,556
34,610,442
34,668,454
34,1201,333
34,1127,438
34,1025,418
34,1063,375
34,865,300
34,260,521
34,868,365
34,818,460
34,586,356
35,608,768
35,1144,856
35,731,682
35,1247,712
35,850,634
35,924,560
35,524,474
35,255,571
35,429,619
35,957,465
35,586,497
35,1054,530
35,350,460
35,415,540
35,1245,557
35,691,403
35,803,559
35,1115,440
35,1125,575
35,1009,424
35,833,345
35,1150,402
35,555,469
35,802,523
35,423,556
35,581,342
35,1035,393
35,802,499
35,1198,343
35,1027,269
35,554,446
36,1106,904
36,1240,712
36,382,595
36,943,653
36,1176,783
36,873,741
36,468,427
36,754,563
36,552,535
36,783,670
36,523,441
36,621,480
36,981,442
36,523,483
36,1024,409
36,837,481
36,1130,564
36,572,369
36,1091,489
36,1130,593
36,1176,354
36,533,487
36,300,529
36,777,625
36,1136,426
36,859,362
36,666,428
36,835,400
36,617,323
36,1153,306
36,661,300
37,701,745
37,390,600
37,894,732
37,811,672
37,925,515
37,1196,831
37,1037,410
37,545,540
37,622,496
37,1198,718
37,526,459
37,1135,421
37,513,389
37,1154,374
37,834,480
37,647,431
37,778,586
37,777,551
37,1135,557
37,1135,582
37,761,549
37,1084,384
37,807,354
37,629,325
37,667,294
38,755,718
38,1254,691
38,455,598
38,1169,846
38,527,460
38,710,584
38,368,438
38,1003,413
38,834,482
38,574,514
38,685,398
38,1118,440
38,1139,566
38,542,571
38,1252,552
38,828,398
38,298,484
38,1138,594
38,597,331
38,857,335
38,1079,377
38,1121,336
38,1163,362
38,806,350
38,965,300
38,888,346
38,1203,331
38,1159,287
38,1031,275
39,701,691
39,1192,831
39,527,452
39,640,448
39,955,636
39,796,757
39,541,540
39,495,601
39,1227,620
39,554,375
39,987,444
39,1140,435
39,836,482
39,1091,428
39,1112,331
39,1222,723
39,1019,413
39,853,376
39,1133,558
39,1218,689
39,657,404
39,825,348
39,1254,723
39,1261,514
39,1227,642
39,596,333
39,639,322
39,1195,341
39,1159,371
39,1047,377
40,478,607
40,781,813
40,818,577
40,1106,960
40,553,526
40,712,653
40,402,567
40,917,488
40,1151,846
40,1194,701
40,529,451
40,1007,424
40,833,470
40,716,627
40,1125,445
40,1131,559
40,1085,366
40,1041,402
40,328,474
40,1256,536
40,798,356
40,955,293
40,626,322
40,1143,391
40,1240,316
40,1052,280
40,859,371
41,608,709
41,1169,733
41,527,568
41,255,521
41,733,607
41,948,658
41,532,467
41,610,490
41,774,581
41,906,505
41,806,544
41,1136,860
41,1070,515
41,1255,582
41,537,372
41,984,445
41,1026,398
41,1132,580
41,1132,555
41,1159,860
41,1144,390
41,794,357
41,1230,319
41,1182,358
41,814,321
41,855,298
41,1105,331
42,689,653
42,1160,786
42,620,744
42,544,568
42,770,592
42,1006,548
42,953,465
42,559,491
42,371,441
42,669,413
42,1112,477
42,637,476
42,513,439
42,812,486
42,487,482
42,1125,557
42,1017,420
42,608,330
42,561,380
42,1263,562
42,1125,318
42,506,391
42,1067,377
42,1124,578
42,1097,346
42,1141,402
42,831,312
42,1263,537
43,1106,928
43,709,640
43,1252,597
43,927,688
43,526,453
43,388,600
43,1063,525
43,598,496
43,541,541
43,767,586
43,288,495
43,670,454
43,986,439
43,1130,436
43,665,404
43,813,485
43,1125,557
43,558,375
43,1025,405
43,1061,368
43,820,343
43,1127,579
43,1117,321
43,1106,356
43,860,327
43,779,337
44,831,728
44,523,474
44,925,662
44,355,629
44,769,726
44,691,647
44,604,502
44,675,447
44,1098,489
44,982,433
44,769,559
44,817,486
44,1130,555
44,1131,578
44,356,433
44,1188,325
44,1018,404
44,669,403
44,1134,427
44,1119,317
44,351,440
44,804,327
44,820,384
44,640,326
45,1180,743
45,451,627
45,1146,971
45,738,722
45,968,580
45,795,587
45,526,564
45,523,478
45,920,517
45,698,582
45,644,678
45,588,511
45,1020,403
45,1129,558
45,1088,492
45,674,415
45,823,486
45,608,464
45,1130,579
45,1136,428
45,667,455
45,1068,390
45,1203,326
45,1090,346
45,1023,276
45,854,381
46,1135,973
46,571,759
46,1204,821
46,510,553
46,865,760
46,415,637
46,1029,538
46,520,469
46,943,654
46,1226,672
46,968,514
46,373,553
46,347,605
46,823,487
46,642,475
46,353,623
46,1132,436
46,988,405
46,1126,558
46,570,475
46,1060,375
46,566,449
46,576,515
46,512,391
46,953,300
46,1126,587
46,802,348
46,571,352
46,1261,520
46,1097,353
47,616,727
47,1164,906
47,437,624
47,1227,587
47,397,547
47,1193,787
47,819,688
47,521,472
47,909,711
47,323,614
47,1251,674
47,304,499
47,955,653
47,990,427
47,569,439
47,273,486
47,1126,557
47,823,486
47,1104,466
47,1140,414
47,604,508
47,673,441
47,617,502
47,1262,483
47,1050,379
47,1251,711
47,1188,341
47,908,323
47,953,285
47,839,398
47,873,351
47,1036,419
47,1260,462
47,912,271
47,1085,367
47,631,317
48,1108,942
48,671,731
48,240,592
48,1176,800
48,455,628
48,1265,718
48,341,616
48,951,639
48,883,754
48,566,522
48,484,584
48,521,451
48,437,519
48,642,424
48,816,486
48,1033,402
48,1132,559
48,505,583
48,1169,398
48,1001,437
48,1130,587
48,495,510
48,991,436
48,854,374
48,1215,324
48,637,473
48,1062,380
48,1058,285
48,1107,456
48,1019,267
48,911,336
48,668,302
48,857,297
49,374,593
49,581,556
49,471,640
49,1136,941
49,1165,822
49,935,632
49,752,665
49,1042,539
49,520,451
49,887,587
49,664,419
49,964,453
49,1223,319
49,1125,561
49,1018,421
49,1265,533
49,813,486
49,1138,425
49,1124,586
49,1089,363
49,749,558
49,755,602
49,1043,393
49,1179,337
49,602,325
50,1144,951
50,753,585
50,421,638
50,509,529
50,607,499
50,1208,736
50,450,564
50,530,475
50,676,415
50,1131,560
50,831,482
50,599,334
50,536,381
50,963,460
50,1201,369
50,1092,464
50,1258,509
50,1034,401
50,987,429
50,1083,368
50,1130,587
50,785,353
50,876,296
50,1023,274
50,1127,329
50,1133,419
50,806,349
50,878,360
50,1090,488
50,839,319
51,690,646
51,895,685
51,412,653
51,550,547
51,257,570
51,1237,693
51,612,477
51,515,458
51,777,583
51,854,517
51,347,600
51,358,454
51,1066,531
51,971,452
51,1017,417
51,1119,443
51,1122,558
51,1123,585
51,808,449
51,1091,361
51,1058,384
51,1130,331
51,822,353
51,877,300
52,861,763
52,535,475
52,432,642
52,744,605
52,415,552
52,898,570
52,957,653
52,294,499
52,1131,561
52,969,444
52,823,482
52,984,575
52,1113,450
52,1036,399
52,1004,423
52,821,394
52,1096,361
52,691,402
52,1195,332
52,1143,340
52,875,304
52,893,338
52,664,305
53,419,637
53,1242,697
53,747,600
53,526,475
53,261,579
53,522,577
53,920,669
53,970,615
53,832,557
53,610,492
53,880,590
53,1134,557
53,685,426
53,971,591
53,539,719
53,992,436
53,1119,446
53,1029,406
53,1164,290
53,1199,334
53,1069,389
53,1133,584
53,1079,280
53,276,580
53,1108,332
53,810,446
54,618,772
54,1110,908
54,428,633
54,527,473
54,867,755
54,955,631
54,612,435
54,456,524
54,597,503
54,497,602
54,1065,531
54,918,479
54,1121,557
54,969,451
54,583,345
54,1022,370
54,1232,316
54,1201,324
54,1172,332
54,1152,415
54,632,311
54,795,265
54,835,401
54,1145,300
54,1042,273
54,1083,371
55,1174,793
55,731,682
55,506,553
55,439,629
55,530,474
55,350,585
55,776,584
55,884,549
55,870,768
55,951,496
55,1099,491
55,655,424
55,1133,558
55,1049,358
55,828,471
55,995,405
55,1036,408
55,998,427
55,1151,366
55,644,318
55,1113,315
55,794,267
55,1131,588
55,1214,340
55,1110,376
55,598,329
56,677,651
56,442,627
56,946,672
56,526,473
56,778,832
56,789,621
56,350,583
56,1128,559
56,1034,542
56,564,479
56,954,460
56,623,431
56,1242,313
56,548,364
56,1111,441
56,1149,380
56,817,485
56,1073,364
56,997,436
56,1189,349
56,1020,396
56,1127,583
56,592,346
56,826,389
56,1272,523
56,866,357
56,337,597
57,862,772
57,1201,780
57,432,633
57,524,472
57,890,577
57,465,556
57,955,642
57,301,473
57,419,430
57,577,515
57,1057,511
57,989,423
57,1146,418
57,823,483
57,889,459
57,1101,388
57,1214,358
57,904,459
57,1136,560
57,1136,585
57,693,409
57,1026,383
57,1148,360
57,897,340
57,1078,264
57,808,344
58,1143,960
58,468,622
58,1226,727
58,530,483
58,707,636
58,845,767
58,287,476
58,623,503
58,881,522
58,1001,414
58,1126,559
58,1073,433
58,629,328
58,823,486
58,934,310
58,1119,456
58,329,639
58,1212,312
58,1144,408
58,695,413
58,338,628
58,581,369
58,366,458
58,845,808
58,1106,457
58,1042,268
58,860,372
58,1261,514
58,582,355
58,1069,335
58,1108,320
59,944,679
59,1219,762
59,775,607
59,1133,865
59,701,640
59,507,554
59,533,473
59,834,551
59,485,626
59,1073,471
59,973,472
59,632,469
59,1131,561
59,1164,410
59,659,424
59,1207,341
59,1179,289
59,1130,588
59,1019,404
59,663,303
59,589,349
59,896,332
59,1171,353
59,1096,354
59,1006,400
59,1070,269
59,1006,271
60,639,731
60,842,723
60,420,624
60,1230,672
60,1102,942
60,628,483
60,529,473
60,581,507
60,678,408
60,545,381
60,275,555
60,857,366
60,817,485
60,994,429
60,1121,445
60,635,324
60,1130,559
60,958,283
60,1136,578
60,1162,374
60,1250,335
60,1125,400
60,899,345
60,841,310
61,1170,895
61,717,778
61,440,616
61,1130,1018
61,1258,640
61,540,547
61,411,534
61,1207,752
61,595,448
61,492,500
61,614,499
61,1121,578
61,532,451
61,1066,528
61,1120,441
61,963,458
61,325,482
61,662,466
61,633,431
61,549,554
61,696,401
61,1018,411
61,594,341
61,823,486
61,1048,389
61,1134,379
61,1239,331
61,635,417
61,1096,359
61,962,295
61,1121,556
61,915,296
62,1113,929
62,742,607
62,831,801
62,388,598
62,868,690
62,1144,580
62,1072,513
62,933,509
62,1254,574
62,524,574
62,584,517
62,1135,430
62,527,465
62,990,438
62,651,466
62,818,486
62,1149,370
62,1061,272
62,819,368
62,1083,361
62,647,407
62,443,412
62,1198,326
62,486,392
62,585,465
62,901,335
62,980,280
62,706,438
63,624,704
63,691,642
63,1188,840
63,461,613
63,865,773
63,814,677
63,1183,714
63,912,490
63,530,569
63,593,504
63,1085,992
63,526,473
63,1132,580
63,1239,581
63,989,434
63,1084,484
63,646,466
63,820,484
63,1243,325
63,1021,411
63,795,538
63,1045,271
63,1130,423
63,1090,968
63,511,513
63,628,412
63,1098,281
63,868,374
63,786,516
63,1215,307
63,516,373
64,451,600
64,722,728
64,554,483
64,951,651
64,1168,774
64,585,709
64,887,613
64,1092,493
64,437,523
64,618,492
64,516,472
64,910,514
64,972,449
64,1135,558
64,351,460
64,503,382
64,819,485
64,1155,399
64,558,375
64,1001,428
64,615,329
64,1230,325
64,675,451
64,822,397
64,1045,392
64,694,406
64,922,321
64,1033,391
65,366,599
65,481,597
65,565,503
65,957,650
65,257,558
65,608,458
65,868,749
65,819,612
65,1062,534
65,1125,440
65,509,391
65,278,476
65,868,544
65,524,469
65,915,486
65,1007,433
65,819,471
65,1049,392
65,867,324
65,1123,580
65,586,351
65,1116,334
65,836,394
65,951,302
65,1268,540
65,806,359
66,758,790
66,868,715
66,531,474
66,500,539
66,377,605
66,975,596
66,1172,781
66,598,501
66,763,632
66,506,389
66,672,411
66,1025,426
66,1130,560
66,817,486
66,1122,335
66,511,397
66,831,392
66,1130,589
66,927,309
66,1129,448
66,1036,280
66,1080,367
66,1181,328
66,633,327
67,771,808
67,533,473
67,430,608
67,949,659
67,598,502
67,406,537
67,345,450
67,988,442
67,1130,560
67,390,536
67,824,485
67,1048,463
67,593,338
67,1102,490
67,1145,418
67,850,380
67,642,309
67,1131,586
67,1089,359
67,698,402
67,1260,492
67,934,304
67,901,349
68,532,473
68,381,611
68,958,636
68,847,502
68,1177,796
68,1213,676
68,260,554
68,979,477
68,1130,590
68,331,461
68,677,407
68,581,348
68,1112,454
68,1116,347
68,1163,418
68,811,487
68,830,334
68,1054,356
68,631,323
68,1015,419
68,981,270
68,1037,275
68,1058,273
68,1130,559
68,263,494
69,467,600
69,534,472
69,847,828
69,376,651
69,842,509
69,1156,800
69,906,487
69,1223,680
69,1133,586
69,584,490
69,557,363
69,987,470
69,1246,580
69,615,452
69,695,400
69,1106,459
69,184,570
69,795,348
69,1020,396
69,850,791
69,1035,398
69,855,372
69,979,273
69,617,325
69,1193,340
69,923,327
69,1148,431
69,1221,309
69,822,338
70,738,618
70,449,630
70,493,595
70,1107,910
70,1214,796
70,485,475
70,1023,544
70,879,568
70,536,472
70,614,442
70,981,443
70,820,490
70,675,410
70,279,488
70,1049,405
70,1131,582
70,1249,652
70,273,480
70,1237,642
70,1110,412
70,1143,446
70,1130,560
70,1232,313
70,829,376
70,919,326
70,1195,334
70,1160,386
70,280,510
70,869,351
71,698,648
71,548,484
71,960,651
71,753,597
71,467,555
71,821,548
71,1165,791
71,1244,587
71,1136,555
71,539,387
71,1119,448
71,1137,580
71,881,338
71,851,375
71,986,442
71,576,358
71,1232,312
71,836,509
71,974,442
71,1194,333
71,945,295
71,799,549
71,1021,415
71,1058,385
71,1122,306
71,824,454
72,533,471
72,445,550
72,761,586
72,697,643
72,1164,852
72,831,509
72,1248,696
72,930,494
72,677,407
72,1210,739
72,1128,557
72,1107,468
72,343,466
72,573,336
72,968,459
72,1194,333
72,1232,311
72,870,353
72,551,363
72,843,393
72,1007,423
72,943,296
72,1193,739
72,1154,424
72,860,296
72,1084,337
73,701,640
73,466,555
73,1232,771
73,536,472
73,1125,928
73,831,509
73,771,619
73,622,495
73,964,456
73,541,381
73,1182,809
73,1129,556
73,296,500
73,791,580
73,1002,427
73,1167,819
73,1068,380
73,704,428
73,1125,457
73,587,347
73,833,389
73,1100,350
73,773,579
73,610,433
73,1168,797
73,892,333
73,1232,313
73,1194,339
73,1133,577
73,1032,408
73,325,494
74,669,665
74,271,577
74,1172,957
74,1177,779
74,404,583
74,320,473
74,704,644
74,530,462
74,827,688
74,601,500
74,548,557
74,924,517
74,864,543
74,992,429
74,172,515
74,1134,556
74,962,462
74,194,563
74,821,502
74,1128,442
74,1223,310
74,1035,399
74,1063,529
74,563,381
74,685,437
74,800,543
74,1135,588
74,1086,375
74,816,481
75,470,591
75,1112,963
75,1247,604
75,346,633
75,574,516
75,750,599
75,883,564
75,791,569
75,267,513
75,520,464
75,1069,536
75,985,436
75,642,475
75,513,392
75,845,554
75,580,443
75,817,484
75,1135,557
75,1133,578
75,1104,391
75,1052,382
75,581,464
75,1107,424
75,1213,317
75,1029,410
75,1100,336
75,585,346
75,1110,472
75,1271,477
75,1185,321
76,1109,903
76,774,638
76,544,561
76,682,653
76,533,458
76,828,507
76,610,489
76,333,462
76,928,493
76,1078,539
76,1046,514
76,1134,557
76,657,403
76,266,518
76,556,365
76,1140,434
76,1095,460
76,1133,582
76,1134,305
76,955,302
76,1198,325
76,1120,371
76,1076,361
76,1171,352
77,1178,775
77,1240,687
77,775,680
77,828,507
77,286,489
77,618,495
77,532,554
77,964,653
77,671,409
77,528,464
77,467,504
77,987,581
77,990,430
77,1132,584
77,1020,404
77,1133,557
77,357,458
77,349,461
77,1061,387
77,1136,446
77,856,379
77,941,308
77,907,333
77,1166,358
78,630,793
78,1185,840
78,739,707
78,784,579
78,831,507
78,1156,587
78,272,523
78,516,387
78,667,624
78,614,490
78,528,465
78,301,482
78,987,448
78,661,433
78,1093,523
78,559,532
78,1145,448
78,1020,407
78,1162,353
78,915,324
78,1073,387
78,999,275
78,1125,383
79,438,572
79,1248,697
79,1090,1002
79,645,730
79,825,513
79,904,555
79,593,501
79,537,461
79,1145,583
79,530,377
79,548,545
79,947,474
79,641,415
79,1011,406
79,650,470
79,1124,451
79,349,462
79,1060,388
79,586,339
79,902,340
79,858,350
79,632,327
79,1038,388
79,975,280
79,1136,317
79,1166,340
79,804,359
80,374,602
80,673,655
80,496,576
80,904,759
80,446,506
80,760,593
80,364,444
80,1169,769
80,827,512
80,576,506
80,965,656
80,968,527
80,1079,517
80,521,451
80,296,492
80,1247,633
80,1016,427
80,1246,656
80,1247,690
80,1131,577
80,832,376
80,639,321
80,930,427
80,643,426
80,1132,556
80,652,470
80,1129,437
80,1197,309
80,874,364
81,1164,967
